Magetop Marketplace DHL Shipping,Magetop Marketplace DHL Shipping
Enabled for Checkout,Enabled for Checkout
Title,Title
Method Title,Method Title
Displayed Error Message,Displayed Error Message
Show Method if Not Applicable,Show Method if Not Applicable
Debug,Debug
Manage DHL Shipping,Manage DHL Shipping
Generate DHL Label,Generate DHL Label
DHL Shipment Slip,DHL Shipment Slip
Password,Password
DHL Configuration,DHL Configuration
Manage DHL Configuration,Manage DHL Configuration
Marketplace DHL Configuration,Marketplace DHL Configuration
Please make sure to use only digits here. No dashes are allowed.,Please make sure to use only digits here. No dashes are allowed.
DHL Shipping details saved successfully.,DHL Shipping details saved successfully.
Can not save the records.,Can not save the records.
Sandbox Mode,Sandbox Mode
Web-Services URL (Production),Web-Services URL (Production)
Web-Services URL (Sandbox),Web-Services URL (Sandbox)
Access ID,Access ID
Account Number,Account Number
Content Type,Content Type
Weight Unit,Weight Unit
Size,Size
Allowed Methods,Allowed Methods
Ready time,Ready time
Package ready time after order submission (in hours),Package ready time after order submission (in hours)
Display Custom Logo on DHL Label,Display Custom Logo on DHL Label
Logo Image,Logo Image
"Allowed file types: jpg, jpeg, png","Allowed file types: jpg, jpeg, png"
Allow Sellers to Save DHL Details,Allow Sellers to Save DHL Details
Allow Sellers to Display Company Logo on DHL Label,Allow Sellers to Display Company Logo on DHL Label
Displayed Error Message,Displayed Error Message
Show Method if Not Applicable,Show Method if Not Applicable
Debug,Debug
Display Company Logo on DHL Label,Display Company Logo on DHL Label