"Enabled","Abilitato"
"All Shipping Flat Rate","Tutte le spedizioni a tariffa fissa"
"Add New Shipping","Aggiungi nuova spedizione"
"Delete Shipping","Cancella spedizione"
"ID","ID"
"Title","Titolo"
"Type","Tipo"
"Price","Prezzo"
"Country Code","Codice Paese"
"Region Id","Provincia"
"Zip(From-To)","CAP"
"Weight(From-To)","Peso"
"Free Shipping","Spedizione gratuita"
"Sort Order","Ordine"
"Status","Stato"
"View","Vedi"
"Attention","Attenzione"
"You haven't selected any items!,"Non hai selezionato alcun dato"
"Delete selected items?","Cancellare i dati selezionati?"
"Add New Shipping Flat Rate","Aggiungi nuova spedizione a tariffa fissa"
"Edit Shipping Flat Rate ID : ","Modifica spedizione a tariffa fissa ID :" 
"Seller","Venditore"
"Marketplace Table Rate Shipping","Tabella spedizioni"
"Upload Shipping Detail","Upload Dati di spedizione"
"Download sample file","Download file di esempio"
"CSV File:","File CSV:"
"Save Shipping","Salva Spedizioni"
"You don't have any shipping at this time.","Non sono presenti dati per le spedizioni."
"Zip","CAP da"
"Zip To","CAP a"
"Weight From","Peso da"
"Weight To",Peso a"
"Minimun order amount for free shipping","Importo minimo per la spedizione gratuita"